season_year,defense_team_id,hc6_risk,hc6_rim_possessions,hc6_rim_attempts,hc6_rim_makes,oreb_possessions,second_chance_rim_possessions,second_chance_rim_attempts,second_chance_rim_makes,explicit_putback_possessions,unknown_shooting_fouls_hc6,high_confidence_rim_fouls,first_chance_rim_frequency_hc6,first_chance_rim_fg_pct,second_chance_rim_per_oreb_possession,second_chance_rim_fg_pct,explicit_putback_per_oreb_possession,unknown_shooting_foul_frequency_hc6,high_confidence_rim_foul_per_rim_attempt
2023,1610612747,7142,1262,1262.0,856.0,1147,391,421.0,261.0,289,384,116,0.17670120414449733,0.6782884310618067,0.34088927637314737,0.6199524940617577,0.25196163905841323,0.053766451974236906,0.0919175911251981
2023,1610612748,6856,1113,1113.0,755.0,1074,334,360.0,234.0,252,433,106,0.16233955659276547,0.6783468104222821,0.31098696461824954,0.65,0.2346368715083799,0.0631563593932322,0.09523809523809523
2023,1610612749,7066,1264,1264.0,822.0,1133,382,421.0,252.0,282,436,133,0.17888480045287292,0.6503164556962026,0.33715798764342453,0.5985748218527316,0.24889673433362755,0.06170393433342768,0.10522151898734178
2023,1610612750,6963,1218,1218.0,752.0,1143,361,395.0,228.0,269,486,116,0.17492460146488584,0.6174055829228243,0.31583552055993,0.5772151898734177,0.23534558180227472,0.06979750107712193,0.09523809523809523
2023,1610612751,6815,1330,1330.0,859.0,1140,397,431.0,264.0,316,430,120,0.19515774027879676,0.6458646616541354,0.3482456140350877,0.6125290023201856,0.2771929824561403,0.06309611151870873,0.09022556390977443
2023,1610612752,6819,1449,1449.0,913.0,1065,396,451.0,264.0,283,445,131,0.21249450065992082,0.6300897170462388,0.37183098591549296,0.5853658536585366,0.26572769953051645,0.0652588356063939,0.0904071773636991
2023,1610612753,6823,1278,1278.0,818.0,1058,359,386.0,252.0,251,455,147,0.18730763593727098,0.6400625978090767,0.3393194706994329,0.6528497409326425,0.23724007561436672,0.06668620841272167,0.11502347417840375
2023,1610612754,7233,1618,1618.0,1050.0,1191,463,510.0,319.0,326,569,161,0.22369694455965713,0.6489493201483313,0.3887489504617968,0.6254901960784314,0.27371956339210746,0.0786672196875432,0.09950556242274412
2023,1610612755,6894,1473,1473.0,966.0,1193,365,399.0,243.0,265,479,137,0.21366405570060923,0.6558044806517311,0.30595138306789604,0.6090225563909775,0.22212908633696563,0.06948070786190891,0.09300746775288526
2023,1610612756,6961,1359,1359.0,869.0,1170,398,441.0,265.0,283,422,134,0.19523057032035626,0.6394407652685798,0.3401709401709402,0.6009070294784581,0.24188034188034188,0.060623473638844995,0.09860191317144959
2023,1610612757,6817,1343,1343.0,931.0,1164,389,428.0,281.0,280,492,157,0.1970074812967581,0.6932241250930752,0.33419243986254293,0.6565420560747663,0.24054982817869416,0.0721725099017163,0.1169024571854058
2023,1610612758,7190,1269,1269.0,851.0,1034,305,326.0,181.0,229,526,118,0.1764951321279555,0.6706067769897557,0.29497098646034814,0.5552147239263804,0.22147001934235977,0.07315716272600835,0.09298660362490149
2023,1610612759,7177,1580,1580.0,1001.0,1148,421,455.0,300.0,306,444,128,0.22014769402257212,0.6335443037974684,0.3667247386759582,0.6593406593406593,0.2665505226480836,0.06186428870001393,0.0810126582278481
2023,1610612760,7185,1310,1310.0,804.0,1263,437,488.0,281.0,327,492,127,0.18232428670842032,0.6137404580152672,0.34600158353127475,0.5758196721311475,0.2589073634204275,0.0684759916492693,0.09694656488549619
2023,1610612761,7106,1399,1399.0,977.0,1194,451,493.0,319.0,312,420,128,0.19687587953841823,0.6983559685489635,0.3777219430485762,0.6470588235294118,0.2613065326633166,0.0591049817056009,0.091493924231594
2023,1610612762,6932,1151,1151.0,754.0,1175,392,431.0,267.0,291,481,106,0.1660415464512406,0.6550825369244135,0.33361702127659576,0.6194895591647331,0.24765957446808512,0.06938834391229083,0.09209383145091225
2023,1610612763,6813,1347,1347.0,824.0,1171,426,472.0,280.0,306,435,130,0.19771025979744605,0.6117297698589458,0.3637916310845431,0.5932203389830508,0.26131511528608026,0.06384852487890796,0.09651076466221233
2023,1610612764,7191,1477,1477.0,1035.0,1281,481,528.0,359.0,317,489,163,0.20539563343067724,0.7007447528774543,0.375487900078064,0.6799242424242424,0.24746291959406713,0.06800166875260742,0.1103588354773189
2023,1610612765,7055,1385,1385.0,924.0,1095,381,408.0,259.0,250,500,151,0.19631467044649184,0.6671480144404333,0.34794520547945207,0.6348039215686274,0.228310502283105,0.07087172218284904,0.10902527075812274
2023,1610612766,6963,1545,1545.0,1047.0,1099,420,472.0,300.0,320,429,166,0.22188711762171479,0.6776699029126214,0.3821656050955414,0.635593220338983,0.2911737943585077,0.061611374407582936,0.10744336569579288
2024,1610612737,7141,1351,1351.0,872.0,1146,372,403.0,240.0,255,483,139,0.1891891891891892,0.6454478164322723,0.32460732984293195,0.5955334987593052,0.22251308900523561,0.06763758577230079,0.10288675055514433
2024,1610612738,6925,1147,1147.0,729.0,1140,399,441.0,260.0,307,408,104,0.16563176895306858,0.6355710549258936,0.35,0.5895691609977324,0.2692982456140351,0.058916967509025274,0.09067131647776809
2024,1610612739,7066,1197,1197.0,725.0,1264,399,442.0,253.0,298,441,105,0.1694027738465893,0.6056808688387636,0.31566455696202533,0.5723981900452488,0.23575949367088608,0.06241154825926974,0.08771929824561403
2024,1610612740,6797,1312,1312.0,873.0,1244,456,510.0,325.0,327,439,144,0.19302633514785936,0.6653963414634146,0.3665594855305466,0.6372549019607843,0.2628617363344051,0.06458731793438281,0.10975609756097561
2024,1610612741,7410,1529,1529.0,994.0,1200,419,460.0,291.0,292,500,134,0.20634278002699055,0.6500981033355134,0.3491666666666667,0.6326086956521739,0.24333333333333335,0.06747638326585695,0.08763897972531066
2024,1610612742,7044,1369,1369.0,876.0,1239,452,505.0,302.0,339,468,120,0.1943498012492902,0.6398831263696129,0.3648103309120258,0.598019801980198,0.2736077481840194,0.06643952299829642,0.08765522279035792
2024,1610612743,7181,1245,1245.0,830.0,1229,397,433.0,260.0,284,486,131,0.1733741818688205,0.6666666666666666,0.323026851098454,0.6004618937644342,0.23108218063466232,0.06767859629578053,0.10522088353413654
2024,1610612744,6975,858,858.0,582.0,1128,359,395.0,253.0,271,518,85,0.12301075268817205,0.6783216783216783,0.3182624113475177,0.640506329113924,0.2402482269503546,0.07426523297491039,0.09906759906759907
2024,1610612745,7027,1289,1289.0,844.0,1149,374,423.0,263.0,274,479,112,0.1834353209050804,0.6547711404189294,0.32550043516100957,0.6217494089834515,0.23846823324630112,0.06816564679094919,0.08688906128782002
2024,1610612746,6789,1061,1061.0,723.0,1066,321,348.0,208.0,243,475,114,0.15628222124024158,0.6814326107445806,0.30112570356472795,0.5977011494252874,0.22795497185741087,0.06996612166740315,0.10744580584354382
2024,1610612747,6691,1165,1165.0,796.0,1183,396,431.0,259.0,307,429,112,0.17411448214018832,0.6832618025751073,0.33474218089602703,0.6009280742459396,0.2595097210481826,0.06411597668509939,0.096137339055794
2024,1610612748,6973,1206,1206.0,812.0,1101,367,403.0,245.0,270,422,108,0.17295281801233328,0.6733001658374793,0.3333333333333333,0.607940446650124,0.2452316076294278,0.06051914527463072,0.08955223880597014
2024,1610612749,6937,1131,1131.0,747.0,1146,402,435.0,268.0,295,428,104,0.16303877756955457,0.6604774535809018,0.3507853403141361,0.6160919540229886,0.25741710296684117,0.061698140406515785,0.09195402298850575
2024,1610612750,6987,1256,1256.0,805.0,1198,373,409.0,232.0,269,466,110,0.17976241591527123,0.6409235668789809,0.3113522537562604,0.5672371638141809,0.22454090150250416,0.06669529125518821,0.0875796178343949
