gid_n,possessions_seen,possessions_attached,n_away,n_home,pts_away,pts_home,expected_home,expected_away,attach_rate,home_point_error,away_point_error,possession_gap,pass_attach,pass_points,pass_balance,trusted,season_code
20000109,196,196,94.0,98.0,82.0,96.0,96.0,82.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000110,188,188,94.0,91.0,75.0,96.0,96.0,75.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000111,199,186,90.0,92.0,108.0,106.0,115.99964627757207,109.00060436077767,0.9346733668341709,-9.999646277572069,-1.0006043607776718,2.0,False,False,True,False,00
20000112,184,160,79.0,78.0,79.0,79.0,81.0,79.0,0.8695652173913043,-2.0,0.0,1.0,False,False,True,False,00
20000113,189,189,92.0,95.0,98.0,107.0,107.0,98.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000114,203,203,101.0,100.0,92.0,88.0,88.0,92.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000115,174,174,86.0,85.0,74.0,84.0,84.00002606073372,74.00004308755719,1.0,-2.6060733716803952e-05,-4.3087557187959646e-05,1.0,True,True,True,True,00
20000116,195,195,96.0,98.0,90.0,92.0,92.0,90.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000117,200,200,98.0,100.0,81.0,96.0,99.0,78.0,1.0,-3.0,3.0,2.0,True,False,True,False,00
20000118,178,178,87.0,85.0,74.0,78.0,78.0,74.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000119,195,195,94.0,97.0,99.0,95.0,95.0,99.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000120,184,144,69.0,73.0,62.0,60.0,61.0,68.0,0.782608695652174,-1.0,-6.0,4.0,False,False,True,False,00
20000121,169,169,84.0,81.0,80.0,84.0,84.0,80.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000122,188,188,93.0,89.0,85.0,89.0,89.0,85.0,1.0,0.0,0.0,4.0,True,True,True,True,00
20000123,200,200,98.0,100.0,84.0,99.0,99.0,84.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000124,208,208,104.0,101.0,112.0,110.0,110.0,112.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000125,162,162,81.0,81.0,76.0,72.0,72.0,76.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000126,185,185,93.0,90.0,99.0,106.0,106.0,99.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000127,178,178,86.0,89.0,73.0,94.0,94.00024266106419,72.99979112946488,1.0,-0.00024266106419190692,0.00020887053511842169,3.0,True,True,True,True,00
20000128,198,198,98.0,98.0,96.0,89.0,89.00000867381699,96.00000983470083,1.0,-8.673816992654793e-06,-9.834700833266652e-06,0.0,True,True,True,True,00
20000129,187,187,91.0,91.0,92.0,90.0,90.0,92.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000130,191,191,95.0,93.0,76.0,89.0,89.0,76.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000131,209,209,102.0,104.0,94.0,99.0,99.0,94.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000132,202,202,101.0,98.0,90.0,85.0,85.0,90.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000133,190,186,90.0,95.0,97.0,88.0,90.0,95.0,0.9789473684210527,-2.0,2.0,5.0,False,False,False,False,00
20000134,185,148,74.0,74.0,79.0,76.0,74.0,79.0,0.8,2.0,0.0,0.0,False,False,True,False,00
20000135,195,181,91.0,87.0,82.0,95.0,95.0,77.0,0.9282051282051282,0.0,5.0,4.0,False,False,True,False,00
20000136,175,172,85.0,85.0,80.0,85.0,86.00823991731721,79.9917927470892,0.9828571428571429,-1.008239917317212,0.008207252910793272,0.0,False,False,True,False,00
20000137,187,187,90.0,93.0,94.0,84.0,84.00003054431983,94.000026849507,1.0,-3.054431982718597e-05,-2.684950699460842e-05,3.0,True,True,True,True,00
20000138,192,160,77.0,80.0,92.0,91.0,94.0,94.0,0.8333333333333334,-3.0,-2.0,3.0,False,False,True,False,00
20000139,189,189,93.0,95.0,90.0,93.0,94.00007352182699,89.00000609903931,1.0,-1.000073521826991,0.9999939009606891,2.0,True,False,True,False,00
20000140,174,174,84.0,89.0,86.0,87.0,87.0,86.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000141,177,177,88.0,89.0,64.0,109.0,109.0,64.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000142,202,202,99.0,102.0,86.0,83.0,83.0,86.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000143,187,187,93.0,91.0,91.0,88.0,88.0,91.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000144,182,182,90.0,84.0,71.0,88.0,88.0,71.0,1.0,0.0,0.0,6.0,True,True,False,False,00
20000145,201,201,98.0,99.0,110.0,102.0,102.0,110.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000146,202,202,99.0,99.0,105.0,96.0,96.00001750245005,105.00000676293476,1.0,-1.7502450049278195e-05,-6.762934759763084e-06,0.0,True,True,True,True,00
20000147,182,182,87.0,92.0,96.0,104.0,104.0,96.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000148,206,206,102.0,101.0,114.0,90.0,90.0,114.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000149,198,193,93.0,96.0,96.0,64.0,64.0002971354292,100.00029817468615,0.9747474747474747,-0.0002971354291929629,-4.000298174686151,3.0,False,False,True,False,00
20000150,192,192,93.0,98.0,107.0,98.0,98.0,107.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000151,189,180,87.0,92.0,77.0,79.0,79.0,75.0,0.9523809523809523,0.0,2.0,5.0,False,False,False,False,00
20000152,190,190,94.0,94.0,94.0,93.0,92.0,95.0,1.0,1.0,-1.0,0.0,True,False,True,False,00
20000153,185,147,73.0,73.0,75.0,67.0,67.0,75.0,0.7945945945945946,0.0,0.0,0.0,False,True,True,False,00
20000154,182,182,92.0,87.0,85.0,84.0,84.0,85.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000155,193,193,95.0,95.0,98.0,117.0,117.0,98.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000156,169,169,85.0,82.0,101.0,89.0,89.0,101.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000157,198,186,91.0,91.0,110.0,100.0,100.0,110.0,0.9393939393939394,0.0,0.0,0.0,False,True,True,False,00
20000158,188,188,94.0,94.0,77.0,89.0,89.0,77.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000159,197,197,97.0,98.0,81.0,96.0,96.0,81.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000160,174,174,87.0,87.0,86.0,67.0,67.0,86.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000161,187,187,94.0,91.0,73.0,88.0,88.0,73.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000162,166,166,81.0,83.0,74.0,78.0,78.00003674103311,74.0000238624303,1.0,-3.674103311368526e-05,-2.3862430296617276e-05,2.0,True,True,True,True,00
20000163,175,175,86.0,88.0,93.0,84.0,84.0,93.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000164,189,189,95.0,92.0,100.0,101.0,101.0,100.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000165,198,198,98.0,99.0,85.0,112.0,112.0,85.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000166,187,187,92.0,94.0,78.0,116.0,116.0,78.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000167,198,146,72.0,72.0,61.0,73.0,71.0,61.0,0.7373737373737373,2.0,0.0,0.0,False,False,True,False,00
20000168,205,205,100.0,102.0,89.0,113.0,111.0,91.0,1.0,2.0,-2.0,2.0,True,False,True,False,00
20000169,202,202,97.0,102.0,71.0,100.0,100.0,71.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000170,189,147,73.0,74.0,93.0,69.0,72.0,96.0,0.7777777777777778,-3.0,-3.0,1.0,False,False,True,False,00
20000171,214,214,105.0,104.0,98.0,103.0,102.99999919472222,98.00001579116199,1.0,8.052777786815568e-07,-1.579116198513475e-05,1.0,True,True,True,True,00
20000172,184,184,93.0,88.0,76.0,66.0,67.00005934204117,76.00006882207835,1.0,-1.000059342041169,-6.882207834735254e-05,5.0,True,False,False,False,00
20000173,173,173,85.0,88.0,80.0,83.0,85.0,80.0,1.0,-2.0,0.0,3.0,True,False,True,False,00
20000174,206,206,103.0,101.0,96.0,118.0,118.00001265271386,96.00001666263276,1.0,-1.2652713863303688e-05,-1.666263275978963e-05,2.0,True,True,True,True,00
20000175,204,186,89.0,93.0,83.0,95.0,98.98430998231977,87.01585724236871,0.9117647058823529,-3.984309982319772,-4.0158572423687104,4.0,False,False,True,False,00
20000176,174,174,84.0,85.0,106.0,90.0,90.0,106.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000177,180,180,91.0,87.0,92.0,102.0,102.0,92.0,1.0,0.0,0.0,4.0,True,True,True,True,00
