player_id,exposed_to_salvage,canonical_weighted_possessions,canonical_rapm,deterministic_change,all_aggregate_change,mi_mean_change,mi_minus_all_aggregate,mi_between_sd,mi_min_change,mi_max_change
157,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
160,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
164,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
165,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
166,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
168,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
170,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
173,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
175,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
176,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
177,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
178,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
179,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
180,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
181,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
182,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
183,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
