target,feature,coef_per_training_sd,raw_unit_coef,training_mean,training_sd,expected,basketball_sign_ok,loo_sign_agreement,loo_coef_sd,current_missing_rate,current_abs_contribution_p95,current_abs_contribution_max
drapm,oreb_opp_rate,-0.007944059671837127,-0.24820201062409736,0.04161460030004272,0.03200642755416042,near-zero,True,0.6,0.016447842425223014,0.0,0.02244522610071941,0.04137992474756485
drapm,dreb_opp_rate,0.2560337811259551,4.601911827831288,0.13975559185498654,0.05563639433018307,positive,True,1.0,0.009695431127084281,0.0,0.4837832129740268,3.9587689166682636
drapm,off_boxout_75,-0.0868063492394079,-0.1653111839292993,0.27397612463174387,0.5251087505158359,near-zero,True,1.0,0.026067990866315706,0.029209621993127148,0.15268387267920266,1.9306445294774957
drapm,def_boxout_75,0.04474744659115282,0.025486983481941936,1.4577526839780002,1.7556980261260546,positive,True,1.0,0.011422887117970097,0.029209621993127148,0.03715371857730382,0.13475620658118698
drapm,stl_75,0.3448325240559214,0.8485359621253928,1.1466969293751355,0.4063852794078321,positive,True,1.0,0.024364682451496797,0.0,0.9761284022005842,3.5727147862953257
drapm,blk_75,0.13201638500600757,0.21510036406542138,0.722952375633641,0.6137431964822507,positive,True,1.0,0.015629914263470743,0.0,0.3199688359712673,0.9805861529757638
drapm,rim_dfg_diff,0.41471773095453174,7.439160751751206,0.0042359593912157075,0.05574791899165583,positive,True,1.0,0.007971992275704758,0.041237113402061855,1.6162621236637438,4.357592860684068
drapm,contested_2pt_75,0.28641361611636096,0.09406526555581213,4.905269450820847,3.044839287105632,positive,True,1.0,0.01999726694426715,0.029209621993127148,0.46334326913643353,1.7992664208999711
drapm,contested_3pt_75,-0.010519114547565059,-0.012178847151743617,3.0870147242423616,0.8637200562993405,positive,False,0.8,0.01064252075702977,0.029209621993127148,0.02897186863657192,0.10473554425681379
drapm,defl_75,0.19736589692174625,0.24605070684403563,2.2035166485091944,0.8021350535962928,positive,True,1.0,0.024624385357109264,0.029209621993127148,0.9451826804089591,5.816569900894785
drapm,pf_nonoff_75,-0.03948846264656768,-0.051737371411811874,2.6211363841720545,0.7632483361447367,negative,True,1.0,0.011293752043023676,0.0,0.12111500285451755,0.4187182727833469
drapm,charges_drawn_75,0.1540809972720597,1.4658872459485448,0.07292916272809992,0.10511108388309712,positive,True,1.0,0.006216950931979898,0.029209621993127148,0.2610875929105379,3.2994917807819926
drapm,height,0.0031458628999197734,0.0009699154718765039,78.38342199402929,3.2434402699375906,positive,True,0.6,0.02144623818635711,0.0,0.006191379755525773,0.011040957114908292
drapm,age,0.261752619136698,0.06300669347388521,26.46785213431685,4.1543620955952605,near-zero,False,1.0,0.00984339926804401,0.0,0.481202086197128,0.9009210242797002
drapm,wing_rel,0.0752639299832188,0.04455811764650844,4.9546682012898975,1.6891182563031018,positive,True,1.0,0.004701298370190444,0.6237113402061856,0.14683378197120503,0.2987473944938794
