game_id,player_id,assisted_2pm,unassisted_2pm,assisted_3pm,unassisted_3pm,assisted_fgm,unassisted_fgm
20000021,948,5,0,0,0,5,0
20000021,1533,1,1,0,0,1,1
20000021,1544,2,0,0,0,2,0
20000021,1683,1,0,0,0,1,0
20000021,1728,2,1,0,0,2,1
20000021,1891,0,0,1,0,1,0
20000021,2035,1,0,1,0,2,0
20000021,2069,2,1,0,0,2,1
20000022,64,0,0,1,0,1,0
20000022,363,1,1,0,0,1,1
20000022,365,1,0,0,0,1,0
20000022,397,1,1,2,0,3,1
20000022,440,5,1,0,0,5,1
20000022,458,0,4,1,0,1,4
20000022,696,1,9,1,1,2,10
20000022,714,3,1,1,0,4,1
20000022,721,1,0,0,0,1,0
20000022,762,2,0,0,0,2,0
20000022,919,2,0,0,0,2,0
20000022,959,0,4,3,0,3,4
20000022,1506,2,2,0,0,2,2
20000022,1717,3,1,1,0,4,1
20000022,1733,3,0,0,0,3,0
20000022,1761,0,5,0,0,0,5
20000022,2059,1,1,0,0,1,1
20000023,165,1,0,0,0,1,0
20000023,208,3,4,0,0,3,4
20000023,281,1,1,0,0,1,1
20000023,283,0,2,1,0,1,2
20000023,299,3,7,0,0,3,7
20000023,435,0,1,0,0,0,1
20000023,672,1,0,4,0,5,0
20000023,679,1,0,0,0,1,0
20000023,951,1,3,1,1,2,4
20000023,983,1,2,0,0,1,2
20000023,1000,0,3,2,0,2,3
20000023,1005,3,4,3,0,6,4
20000023,1032,2,0,0,0,2,0
20000023,1501,2,1,0,0,2,1
20000023,1508,2,2,0,0,2,2
20000023,1749,2,1,1,0,3,1
20000023,1883,0,3,1,1,1,4
20000024,111,2,0,0,0,2,0
20000024,198,2,0,0,0,2,0
20000024,210,4,4,0,0,4,4
20000024,251,0,0,2,0,2,0
20000024,324,4,1,0,0,4,1
20000024,422,2,4,0,0,2,4
20000024,708,5,5,0,0,5,5
20000024,764,1,0,0,0,1,0
20000024,955,0,1,0,0,0,1
20000024,990,1,1,0,0,1,1
20000024,1051,0,1,0,0,0,1
20000024,1073,0,1,0,0,0,1
20000024,1495,4,6,0,0,4,6
20000024,1497,0,4,1,0,1,4
20000024,1498,1,2,0,0,1,2
20000024,1507,3,4,2,0,5,4
20000024,1725,0,3,0,0,0,3
20000024,1887,5,0,0,0,5,0
20000025,45,3,1,1,0,4,1
20000025,89,3,3,2,0,5,3
20000025,168,5,0,0,0,5,0
20000025,219,1,0,0,0,1,0
20000025,302,0,3,0,0,0,3
20000025,702,2,1,2,0,4,1
20000025,956,2,1,0,0,2,1
20000025,1502,1,0,0,0,1,0
20000025,1504,2,4,0,0,2,4
20000025,1505,3,2,0,0,3,2
20000025,1531,0,1,0,0,0,1
20000025,1711,0,1,0,0,0,1
20000025,1712,5,0,0,0,5,0
20000025,1716,2,4,1,0,3,4
20000025,1721,3,1,0,0,3,1
20000025,1899,2,0,2,0,4,0
20000025,1907,1,2,1,2,2,4
20000026,53,0,1,0,0,0,1
20000026,120,1,2,1,0,2,2
20000026,278,1,0,0,0,1,0
20000026,361,4,2,0,0,4,2
20000026,431,6,1,0,0,6,1
20000026,467,1,1,1,1,2,2
20000026,739,8,1,0,0,8,1
20000026,757,0,1,1,0,1,1
20000026,915,2,5,0,0,2,5
20000026,937,0,0,2,0,2,0
20000026,960,3,0,5,0,8,0
20000026,1719,4,0,0,0,4,0
20000026,1890,4,3,1,0,5,3
20000026,2054,2,0,0,0,2,0
20000026,2091,3,0,0,0,3,0
20000026,2101,2,0,0,0,2,0
20000027,236,1,0,0,0,1,0
20000027,399,1,0,0,0,1,0
20000027,735,3,0,0,0,3,0
20000027,949,3,2,0,0,3,2
20000027,970,5,4,0,0,5,4
20000027,976,2,2,1,0,3,2
20000027,1134,2,0,0,0,2,0
20000027,1709,4,3,0,0,4,3
20000027,1710,3,2,0,0,3,2
20000027,1722,1,3,4,0,5,3
20000027,1730,3,0,0,0,3,0
20000027,1800,0,0,1,0,1,0
20000027,1838,1,1,0,0,1,1
20000027,1885,4,3,1,0,5,3
20000027,1894,3,2,0,0,3,2
20000027,2031,0,2,0,0,0,2
20000027,2032,1,4,0,0,1,4
20000027,2039,0,1,0,0,0,1
20000027,2047,0,1,0,0,0,1
20000028,72,2,0,1,0,3,0
20000028,179,0,0,2,0,2,0
20000028,209,1,1,0,0,1,1
20000028,213,3,0,0,0,3,0
20000028,349,0,3,0,0,0,3
20000028,677,0,1,0,0,0,1
20000028,713,1,1,0,0,1,1
20000028,722,2,0,0,0,2,0
20000028,753,0,2,0,0,0,2
20000028,788,1,0,0,0,1,0
20000028,891,1,0,0,0,1,0
20000028,952,1,5,2,0,3,5
20000028,1499,3,1,0,0,3,1
20000028,1541,1,3,0,0,1,3
20000028,1559,0,2,0,0,0,2
20000028,1600,1,0,0,0,1,0
20000028,1713,7,4,2,0,9,4
20000028,1718,1,6,2,1,3,7
20000028,2050,1,1,2,0,3,1
20000029,84,0,3,0,1,0,4
20000029,164,1,1,1,0,2,1
20000029,275,3,2,1,0,4,2
20000029,369,0,1,0,1,0,2
20000029,393,4,2,0,0,4,2
20000029,436,4,3,0,0,4,3
20000029,779,1,0,0,0,1,0
20000029,782,3,1,2,0,5,1
20000029,913,2,3,0,0,2,3
20000029,948,5,3,0,0,5,3
20000029,1732,3,0,0,0,3,0
20000029,1751,0,2,0,0,0,2
20000029,1888,3,2,0,0,3,2
20000029,1918,1,0,0,0,1,0
20000030,42,2,1,0,0,2,1
20000030,137,1,0,1,0,2,0
20000030,243,3,0,2,0,5,0
20000030,248,3,0,0,0,3,0
20000030,255,3,3,1,0,4,3
20000030,353,1,3,1,0,2,3
20000030,680,1,1,0,0,1,1
20000030,689,4,1,0,0,4,1
20000030,690,1,1,0,0,1,1
20000030,727,1,1,0,0,1,1
20000030,947,5,5,0,0,5,5
20000030,1503,3,2,0,0,3,2
20000030,1720,1,0,0,0,1,0
20000030,1727,2,1,1,0,3,1
20000030,1928,1,1,0,0,1,1
20000030,2034,0,1,0,0,0,1
20000031,133,1,0,1,0,2,0
20000031,136,1,0,0,0,1,0
20000031,190,1,0,0,0,1,0
20000031,224,1,2,1,0,2,2
20000031,258,6,4,0,0,6,4
20000031,469,6,4,0,1,6,5
20000031,896,0,3,0,2,0,5
