season,season_type,player_id,player_name,season_games,layup_assists_created,dunk_assists_created,other_rim_assists_created,rim_assists_strict,rim_assists_all,layup_assists_created_per_game,dunk_assists_created_per_game,other_rim_assists_created_per_game,rim_assists_strict_per_game,rim_assists_all_per_game
1997-98,Playoffs,147,Jalen Rose,13.0,7,3,0,10,10,0.5384615384615384,0.23076923076923078,0.0,0.7692307692307693,0.7692307692307693
1997-98,Playoffs,764,David Robinson,17.0,6,3,0,9,9,0.35294117647058826,0.17647058823529413,0.0,0.5294117647058824,0.5294117647058824
1997-98,Playoffs,1495,Tim Duncan,17.0,7,2,0,9,9,0.4117647058823529,0.11764705882352941,0.0,0.5294117647058824,0.5294117647058824
1997-98,Playoffs,219,Vinny Del Negro,,6,3,0,9,9,,,,,
1997-98,Playoffs,275,Allan Houston,20.0,8,0,0,8,8,0.4,0.0,0.0,0.4,0.4
1997-98,Playoffs,891,Charles Oakley,,7,1,0,8,8,,,,,
1997-98,Playoffs,757,Damon Stoudamire,13.0,4,4,0,8,8,0.3076923076923077,0.3076923076923077,0.0,0.6153846153846154,0.6153846153846154
1997-98,Playoffs,977,Kobe Bryant,8.0,5,3,0,8,8,0.625,0.375,0.0,1.0,1.0
1997-98,Playoffs,22,Rik Smits,13.0,4,4,0,8,8,0.3076923076923077,0.3076923076923077,0.0,0.6153846153846154,0.6153846153846154
1997-98,Playoffs,184,Bobby Phills,,6,1,0,7,7,,,,,
1997-98,Playoffs,904,Chris Mullin,13.0,7,0,0,7,7,0.5384615384615384,0.0,0.0,0.5384615384615384,0.5384615384615384
1997-98,Playoffs,696,Travis Best,11.0,5,2,0,7,7,0.45454545454545453,0.18181818181818182,0.0,0.6363636363636364,0.6363636363636364
1997-98,Playoffs,124,Vlade Divac,5.0,5,2,0,7,7,1.0,0.4,0.0,1.4,1.4
1997-98,Playoffs,445,Wesley Person,,5,2,0,7,7,,,,,
1997-98,Playoffs,193,Anthony Mason,,4,2,0,6,6,,,,,
1997-98,Playoffs,375,Isaiah Rider,13.0,1,5,0,6,6,0.07692307692307693,0.38461538461538464,0.0,0.46153846153846156,0.46153846153846156
1997-98,Playoffs,1114,Jaren Jackson,17.0,6,0,0,6,6,0.35294117647058826,0.0,0.0,0.35294117647058826,0.35294117647058826
1997-98,Playoffs,317,John Starks,,5,1,0,6,6,,,,,
1997-98,Playoffs,52,Micheal Williams,,5,1,0,6,6,,,,,
1997-98,Playoffs,1000,Shandon Anderson,11.0,4,2,0,6,6,0.36363636363636365,0.18181818181818182,0.0,0.5454545454545454,0.5454545454545454
1997-98,Playoffs,1507,Derek Anderson,,3,2,0,5,5,,,,,
1997-98,Playoffs,21,Greg Anthony,13.0,5,0,0,5,5,0.38461538461538464,0.0,0.0,0.38461538461538464,0.38461538461538464
1997-98,Playoffs,203,Nate McMillan,,5,0,0,5,5,,,,,
1997-98,Playoffs,197,Scott Burrell,,4,1,0,5,5,,,,,
1997-98,Playoffs,324,Anthony Peeler,4.0,4,0,0,4,4,1.0,0.0,0.0,1.0,1.0
1997-98,Playoffs,1538,Cedric Henderson,,1,3,0,4,4,,,,,
1997-98,Playoffs,916,Corie Blount,,2,2,0,4,4,,,,,
1997-98,Playoffs,209,Dell Curry,3.0,4,0,0,4,4,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333
