player_name,pts,ast,stl,blk,reb,fga,fg3a,fta,tov,min_seconds,fgm,fg3m,pip,player_id
Dalton Knecht,201,16,10,10,68,174,101,20,20,30443.699999999997,78,31,84,1642261
Bronny James,66,37,11,2,15,63,29,5,14,13317.5,25,12,22,1642355
Christian Koloko,60,14,13,21,71,61,5,10,12,18650.1,26,1,46,1631132
Rob Dillingham,196,94,32,3,72,220,57,34,57,32272.700000000004,77,16,92,1642265
Joan Beringer,91,7,4,13,57,60,0,17,8,12282.1,40,0,80,1642866
Joe Ingles,10,16,7,0,7,8,6,2,7,4781.8,3,2,2,204060
Leonard Miller,96,12,6,5,50,65,27,17,15,12439.7,38,7,62,1631159
Johnny Juzang,43,6,2,1,17,38,24,8,5,5261.9,16,6,16,1630548
Jett Howard,194,34,7,8,59,167,104,30,8,27122.899999999994,66,34,56,1641724
N'Faly Dante,3,0,2,0,7,4,0,1,1,925.0,1,0,2,1642368
Vít Krejčí,527,93,46,18,135,406,311,51,37,79500.09999999999,183,123,106,1630249
Asa Newell,201,20,15,13,81,149,69,25,21,26699.5,80,27,106,1642854
Chaz Lanier,62,13,5,0,19,57,45,5,2,10285.5,21,15,4,1642404
Daniss Jenkins,392,147,43,7,93,351,127,82,65,52326.10000000001,141,46,140,1642450
PJ Hall,86,10,3,10,75,59,5,29,16,12802.7,30,3,54,1641790
GG Jackson,439,55,27,33,173,324,128,94,55,49340.19999999999,163,45,228,1641713
Keshad Johnson,73,2,5,5,43,63,25,17,10,9831.9,26,8,34,1642352
Jahmir Young,17,6,1,0,4,20,7,1,2,2821.7000000000003,7,2,10,1642443
Jose Alvarado,411,173,53,6,142,360,245,36,57,66972.29999999999,149,85,124,1630631
Rayan Rupert,194,40,40,4,120,195,91,26,33,44613.5,74,29,88,1641712
Duop Reath,94,10,5,8,38,74,55,6,7,15490.199999999999,33,23,20,1641871
Moses Moody,705,95,55,32,197,537,366,109,55,90343.0,237,147,156,1630541
