player_id,player_name,games,minutes_on_total,minutes_on_avg,on_diff_total,off_diff_total,on_off_diff_total,on_diff_avg,off_diff_avg,on_off_diff_avg,on_diff_adj_total,off_diff_adj_total,on_off_diff_adj_total,on_diff_adj_avg,off_diff_adj_avg,on_off_diff_adj_avg,first_game_date,last_game_date,latest_team_id
1628960,Allen,2,37.85,18.925,-1.0,-20.0,19.0,-0.5,-10.0,9.5,4.282,-11.048,15.33,2.141,-5.524,7.665,2026-04-25,2026-04-27,1610612756
1629637,Hayes,10,162.71,16.271,1.0,-50.0,51.0,0.1,-5.0,5.1,0.079,-75.61,75.691,0.008,-7.561,7.569,2026-04-18,2026-05-11,1610612747
1642404,Lanier,3,7.5,2.5,5.0,7.0,-2.0,1.667,2.333,-0.667,5.746,-16.923,22.669,1.915,-5.641,7.556,2026-05-03,2026-05-17,1610612765
1630639,Lawson,7,50.62,7.231,7.0,-19.0,26.0,1.0,-2.714,3.714,6.591,-44.819,51.409,0.942,-6.403,7.344,2026-04-18,2026-05-03,1610612761
1628973,Brunson,19,701.4,36.916,234.0,49.0,185.0,12.316,2.579,9.737,153.498,16.85,136.647,8.079,0.887,7.192,2026-04-18,2026-06-13,1610612752
1641705,Wembanyama,22,750.41,34.11,196.0,-35.0,231.0,8.909,-1.591,10.5,124.755,-32.141,156.894,5.671,-1.461,7.132,2026-04-19,2026-06-13,1610612759
1629312,Highsmith,2,11.28,5.64,-23.0,-24.0,1.0,-11.5,-12.0,0.5,-18.803,-32.991,14.188,-9.402,-16.496,7.094,2026-04-19,2026-04-25,1610612756
1641842,Holland II,9,57.52,6.391,15.0,5.0,10.0,1.667,0.556,1.111,13.064,-49.23,62.292,1.452,-5.47,6.921,2026-04-19,2026-05-17,1610612765
1642449,Smith,3,7.03,2.343,4.0,8.0,-4.0,1.333,2.667,-1.333,4.746,-15.923,20.669,1.582,-5.308,6.89,2026-05-03,2026-05-17,1610612765
201142,Durant,1,40.99,40.99,-2.0,-5.0,3.0,-2.0,-5.0,3.0,8.122,1.245,6.877,8.122,1.245,6.877,2026-04-21,2026-04-21,1610612745
1642863,Maluach,4,45.24,11.31,-13.0,-56.0,43.0,-3.25,-14.0,10.75,-17.874,-44.974,27.1,-4.469,-11.244,6.775,2026-04-19,2026-04-27,1610612756
1642346,Dunn,4,33.79,8.448,-9.0,-60.0,51.0,-2.25,-15.0,12.75,-17.898,-44.952,27.053,-4.474,-11.238,6.763,2026-04-19,2026-04-27,1610612756
1641739,Camara,5,165.09,33.018,-44.0,-18.0,-26.0,-8.8,-3.6,-5.2,12.708,-19.257,31.965,2.542,-3.851,6.393,2026-04-19,2026-04-28,1610612757
202066,Temple,2,1.99,0.995,-3.0,13.0,-16.0,-1.5,6.5,-8.0,-3.0,-15.706,12.706,-1.5,-7.853,6.353,2026-04-23,2026-05-03,1610612761
1631101,Sharpe,5,67.09,13.418,2.0,-64.0,66.0,0.4,-12.8,13.2,12.549,-19.099,31.647,2.51,-3.82,6.329,2026-04-19,2026-04-28,1610612757
203932,Gordon,3,89.33,29.777,-1.0,-9.0,8.0,-0.333,-3.0,2.667,15.441,-2.92,18.362,5.147,-0.973,6.121,2026-04-18,2026-04-25,1610612743
1641737,Bona,10,95.58,9.558,3.0,-121.0,124.0,0.3,-12.1,12.4,-10.034,-70.179,60.146,-1.003,-7.018,6.015,2026-04-19,2026-05-10,1610612755
1628978,DiVincenzo,4,96.19,24.048,45.0,-18.0,63.0,11.25,-4.5,15.75,13.771,-9.854,23.626,3.443,-2.464,5.906,2026-04-18,2026-04-25,1610612750
1641783,da Silva,7,107.32,15.331,-12.0,-21.0,9.0,-1.714,-3.0,1.286,2.712,-38.369,41.081,0.387,-5.481,5.869,2026-04-19,2026-05-03,1610612753
1630538,Hyland,10,115.91,11.591,-17.0,-51.0,34.0,-1.7,-5.1,3.4,-4.235,-61.596,57.361,-0.424,-6.16,5.736,2026-04-18,2026-05-15,1610612750
1631106,Eason,6,195.13,32.522,10.0,-25.0,35.0,1.667,-4.167,5.833,28.004,-5.733,33.737,4.667,-0.955,5.623,2026-04-18,2026-05-01,1610612745
203999,Jokić,6,237.02,39.503,-14.0,-13.0,-1.0,-2.333,-2.167,-0.167,12.349,-20.866,33.215,2.058,-3.478,5.536,2026-04-18,2026-04-30,1610612743
1628369,Tatum,6,218.08,36.347,28.0,1.0,27.0,4.667,0.167,4.5,34.074,1.506,32.569,5.679,0.251,5.428,2026-04-19,2026-04-30,1610612738
1631204,Sasser,6,61.26,10.21,27.0,-13.0,40.0,4.5,-2.167,6.667,9.684,-22.293,31.976,1.614,-3.716,5.329,2026-04-22,2026-05-17,1610612765
1642263,Sheppard,6,192.41,32.068,-8.0,-7.0,-1.0,-1.333,-1.167,-0.167,26.964,-4.695,31.659,4.494,-0.782,5.276,2026-04-18,2026-05-01,1610612745
1641775,Walsh,7,88.72,12.674,39.0,-19.0,58.0,5.571,-2.714,8.286,38.45,2.075,36.376,5.493,0.296,5.197,2026-04-19,2026-05-02,1610612738
