player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
Kelly Oubre Jr.,PHI,48.0,1519.0,0.2,-1.6,2.5,12.9,0.583
Isaiah Collier,UTA,59.0,1517.0,-0.2,-2.5,1.6,14.8,0.567
Jalen Suggs,ORL,55.0,1516.0,1.7,2.5,2.6,15.8,0.558
Dylan Harper,SAS,67.0,1514.0,1.3,1.5,4.1,16.2,0.575
Kevin Huerter,2TM,67.0,1513.0,0.5,-0.8,2.3,13.0,0.55
Kevin Huerter,CHI,44.0,1037.0,0.3,-1.0,1.3,13.2,0.559
Kevin Huerter,DET,23.0,476.0,0.2,-0.5,1.0,12.5,0.531
Ron Holland,DET,76.0,1509.0,0.0,-2.0,2.7,11.8,0.525
Isaiah Joe,OKC,71.0,1507.0,1.7,2.5,5.6,15.5,0.657
Jock Landale,2TM,68.0,1506.0,0.7,-0.1,3.9,16.6,0.595
Jock Landale,MEM,45.0,1060.0,0.5,-0.2,2.6,16.9,0.594
Jock Landale,ATL,23.0,446.0,0.2,0.0,1.3,16.0,0.596
Tari Eason,HOU,58.0,1502.0,0.2,-1.4,3.0,13.0,0.516
Jrue Holiday,POR,51.0,1496.0,1.5,2.1,3.5,16.6,0.573
Klay Thompson,DAL,68.0,1487.0,0.2,-1.5,0.5,11.3,0.54
Ajay Mitchell,OKC,57.0,1473.0,1.4,1.9,4.9,16.8,0.585
Brandon Williams,DAL,66.0,1463.0,0.9,0.4,2.5,16.8,0.572
Zaccharie Risacher,ATL,65.0,1461.0,-0.2,-2.4,2.3,11.8,0.559
Keon Ellis,2TM,71.0,1460.0,0.6,-0.3,2.3,11.0,0.582
Keon Ellis,SAC,43.0,758.0,0.0,-2.0,0.4,9.1,0.536
Keon Ellis,CLE,28.0,702.0,0.6,1.5,1.9,12.9,0.637
Grayson Allen,PHO,50.0,1455.0,1.5,2.0,3.8,16.1,0.569
Jaren Jackson Jr.,2TM,48.0,1454.0,0.5,-0.6,1.5,15.8,0.576
Jaren Jackson Jr.,MEM,45.0,1382.0,0.4,-0.8,1.4,15.4,0.574
Jaren Jackson Jr.,UTA,3.0,72.0,0.1,4.5,0.1,23.3,0.598
Ivica Zubac,2TM,48.0,1446.0,0.6,-0.3,4.2,18.6,0.622
Ivica Zubac,LAC,43.0,1328.0,0.7,0.1,4.0,18.8,0.635
Ivica Zubac,IND,5.0,118.0,-0.1,-4.5,0.2,16.3,0.505
Bilal Coulibaly,WAS,55.0,1445.0,-0.2,-2.4,0.8,13.1,0.526
Tre Johnson,WAS,60.0,1443.0,-1.1,-5.0,-0.7,10.6,0.535
Lauri Markkanen,UTA,42.0,1443.0,1.6,2.6,3.5,21.2,0.608
Shaedon Sharpe,POR,48.0,1439.0,0.3,-1.3,1.3,15.4,0.55
Ryan Kalkbrenner,CHO,67.0,1436.0,1.4,1.8,5.5,18.0,0.757
Sidy Cissoko,POR,73.0,1431.0,-0.8,-4.1,1.3,7.0,0.512
Ja'Kobe Walter,TOR,70.0,1420.0,0.6,-0.5,3.5,11.7,0.602
Javonte Green,DET,80.0,1419.0,1.4,1.9,4.5,13.9,0.601
Daniss Jenkins,DET,70.0,1418.0,0.6,-0.4,3.0,13.8,0.533
Spencer Jones,DEN,64.0,1417.0,-0.2,-2.5,2.6,9.3,0.619
Luke Kornet,SAS,67.0,1412.0,2.0,3.7,6.9,18.0,0.69
Patrick Williams,CHI,70.0,1411.0,-0.8,-4.4,-0.1,8.2,0.498
Walter Clayton,2TM,69.0,1410.0,-0.8,-4.3,0.2,10.3,0.523
Walter Clayton,UTA,45.0,811.0,-0.2,-3.2,0.3,10.4,0.54
Walter Clayton,MEM,24.0,599.0,-0.6,-5.8,0.0,10.1,0.502
Khris Middleton,2TM,61.0,1408.0,-0.9,-4.6,0.1,10.7,0.526
Khris Middleton,WAS,34.0,827.0,-0.4,-4.0,0.2,11.5,0.531
Khris Middleton,DAL,27.0,581.0,-0.5,-5.4,-0.1,9.5,0.52
Christian Braun,DEN,44.0,1399.0,0.2,-1.3,3.0,12.6,0.607
Mark Williams,PHO,59.0,1396.0,1.4,2.0,6.3,22.0,0.678
Kyshawn George,WAS,48.0,1391.0,0.3,-1.2,0.7,13.9,0.559
Ben Sheppard,IND,65.0,1390.0,-0.4,-3.0,1.4,9.7,0.561
