game_id,poss_index,offense_team,defense_team,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,points,points_adj,ended_by,period,date
22500947,91,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1630241,1630596,1631165,0,0.0,free_throw,2,2026-03-11
22500947,93,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1630241,1630596,1631165,0,0.0,defensive_rebound,2,2026-03-11
22500947,94,1610612739,1610612753,201935,1628378,1630241,1630596,1631165,1628975,1628976,1630591,1631094,1641783,0,0.0,defensive_rebound,2,2026-03-11
22500947,95,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1630241,1630596,1631165,3,1.318,made_shot,2,2026-03-11
22500947,97,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1630241,1630596,1631165,0,0.0,turnover,2,2026-03-11
22500947,98,1610612739,1610612753,201935,1628378,1630241,1630596,1631165,1628975,1628976,1630591,1631094,1641783,3,1.519,made_shot,2,2026-03-11
22500947,99,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1630241,1630596,1631165,2,2.0,free_throw,2,2026-03-11
22500947,100,1610612739,1610612753,201935,1628378,1630241,1630596,1631165,1628975,1628976,1630591,1631094,1641783,2,2.0,made_shot,2,2026-03-11
22500947,101,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1628418,1630241,1631165,2,2.0,free_throw,2,2026-03-11
22500947,102,1610612739,1610612753,201935,1628378,1628418,1630241,1631165,1628975,1628976,1630591,1631094,1641783,0,0.0,turnover,2,2026-03-11
22500947,103,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1628418,1630241,1631165,0,0.0,steal,2,2026-03-11
22500947,107,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1628418,1630241,1631165,0,0.0,defensive_rebound,2,2026-03-11
22500947,108,1610612739,1610612753,201935,1628378,1628418,1630241,1631165,1628975,1628976,1630591,1631094,1641783,2,2.0,made_shot,2,2026-03-11
22500947,109,1610612753,1610612739,1628975,1628976,1630591,1631094,1641783,201935,1628378,1628418,1630241,1631165,0,0.0,turnover,2,2026-03-11
22500947,110,1610612739,1610612753,201935,1628378,1628418,1630241,1631165,1628975,1628976,1630591,1631094,1641783,0,0.0,steal,2,2026-03-11
22500947,111,1610612739,1610612753,201935,1628378,1628418,1630241,1631165,1628975,1628976,1630591,1631094,1641783,0,0.0,period,2,2026-03-11
22500947,112,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,3,1.238,made_shot,3,2026-03-11
22500947,113,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,1,1.0,free_throw,3,2026-03-11
22500947,118,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,1,1.0,free_throw,3,2026-03-11
22500947,126,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,0,0.0,steal,3,2026-03-11
22500947,127,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,3,1.321,made_shot,3,2026-03-11
22500947,132,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,0,0.0,defensive_rebound,3,2026-03-11
22500947,133,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,2,2.0,made_shot,3,2026-03-11
22500947,134,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,2,2.0,made_shot,3,2026-03-11
22500947,135,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1629731,1630241,1630596,0,0.0,defensive_rebound,3,2026-03-11
22500947,136,1610612739,1610612753,201935,1628378,1629731,1630241,1630596,1628976,1630217,1630591,1631094,1641783,0,0.0,turnover,3,2026-03-11
22500947,137,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,1628418,1630241,1631165,1642281,0,0.0,defensive_rebound,3,2026-03-11
22500947,138,1610612739,1610612753,201935,1628418,1630241,1631165,1642281,1628975,1628976,1631094,1641724,1641783,2,2.0,made_shot,3,2026-03-11
22500947,139,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,1628418,1630241,1631165,1642281,1,1.0,free_throw,3,2026-03-11
22500947,141,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1628976,1631094,1641724,1641783,3,1.381,made_shot,3,2026-03-11
22500947,143,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1628976,1631094,1641724,1641783,0,0.0,steal,3,2026-03-11
22500947,144,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1628976,1631094,1641724,1641783,2,2.0,made_shot,3,2026-03-11
22500947,145,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,0,0.0,defensive_rebound,3,2026-03-11
22500947,147,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,2,2.0,made_shot,3,2026-03-11
22500947,148,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1628976,1631094,1641724,1641783,0,0.0,defensive_rebound,3,2026-03-11
22500947,149,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,3,1.14,made_shot,3,2026-03-11
22500947,150,1610612739,1610612753,201935,203471,1628418,1631165,1642281,1628975,1628976,1631094,1641724,1641783,0,0.0,turnover,3,2026-03-11
22500947,151,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,0,0.0,steal,3,2026-03-11
22500947,152,1610612753,1610612739,1628975,1628976,1631094,1641724,1641783,201935,203471,1628418,1631165,1642281,0,0.0,turnover,3,2026-03-11
22500947,153,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,3,1.293,made_shot,3,2026-03-11
22500947,154,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,3,1.441,made_shot,3,2026-03-11
22500947,155,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,2,2.0,made_shot,3,2026-03-11
22500947,156,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,1,1.0,free_throw,3,2026-03-11
22500947,157,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,3,1.198,made_shot,3,2026-03-11
